opcode 580, rd 20, rt 20, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 16777268
opcode 37, rd 24, rt 24, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 0, braddr 24
opcode 580, rd 21, rt 21, rn 31, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 63, braddr 16779253
opcode 1880, rd 31, rt 31, rn 21, rm 20, shamt 0, aluimm 1280, dtaddr -192, condaddr 40981, braddr -15465793
opcode 84, rd 10, rt 10, rn 13, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 13, braddr 426
opcode 1624, rd 22, rt 22, rn 20, rm 21, shamt 0, aluimm 1344, dtaddr -176, condaddr 43028, braddr -15400298
opcode 1112, rd 1, rt 1, rn 19, rm 22, shamt 0, aluimm 1408, dtaddr -160, condaddr 45075, braddr -15334815
opcode 580, rd 0, rt 0, rn 19, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 19, braddr 16777824
opcode 1691, rd 0, rt 0, rn 0, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196704, braddr -10482688
opcode 1691, rd 1, rt 1, rn 1, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196705, braddr -10482655
opcode 37, rd 9, rt 9, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 41
opcode 580, rd 0, rt 0, rn 19, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 19, braddr 16777824
opcode 580, rd 1, rt 1, rn 22, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 22, braddr 16777921
opcode 580, rd 2, rt 2, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778210
opcode 37, rd 10, rt 10, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 42
opcode 580, rd 21, rt 21, rn 21, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 53, braddr 16778933
opcode 5, rd 19, rt 19, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -13
opcode 1986, rd 30, rt 30, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195230
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 1986, rd 19, rt 19, rn 28, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 133148, braddr 4260755
opcode 1986, rd 20, rt 20, rn 28, rm 1, shamt 32, aluimm 96, dtaddr 24, condaddr 134172, braddr 4293524
opcode 1986, rd 21, rt 21, rn 28, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 135196, braddr 4326293
opcode 1986, rd 22, rt 22, rn 28, rm 2, shamt 32, aluimm 160, dtaddr 40, condaddr 136220, braddr 4359062
